Tiempo,Carga,Extensión de tracción
s,N,mm
78.358,228.91629,63.83296
78.458,228.91354,63.91636
78.55801,228.86531,63.99966
78.65801,228.82139,64.08296
78.758,228.79967,64.16626
78.858,228.77228,64.24966
78.958,228.75462,64.33286
79.05801,228.78986,64.41636
79.15801,228.79992,64.49976
79.258,228.80418,64.58295
79.358,228.78604,64.66626
79.458,228.84957,64.74976
79.55801,228.78733,64.83305
79.65801,228.79513,64.91626
79.758,228.82087,64.99966
79.858,228.84862,65.08306
79.958,228.84455,65.16626
80.05801,228.84535,65.24957
80.15801,228.90834,65.33305
80.258,228.93298,65.41626
80.358,228.96769,65.49956
80.458,228.99976,65.58306
80.55801,229.02369,65.66636
80.65801,229.02077,65.74956
80.758,229.00432,65.83315
80.858,228.99857,65.91636
80.958,228.99169,65.99976
81.05801,228.98605,66.08305
81.15801,229.04379,66.16626
81.258,229.0214,66.24966
81.358,229.07704,66.33295
81.458,229.03522,66.41626
81.55801,229.01572,66.49966
81.65801,229.06408,66.58286
81.758,229.064,66.66625
81.858,229.06713,66.74957
81.958,229.15719,66.83296
82.05801,229.17286,66.91636
82.15801,229.22378,66.99966
82.258,229.21052,67.08296
82.358,229.29218,67.16636
82.458,229.3523,67.24976
82.55801,229.29039,67.33286
82.65801,229.3239,67.41626
82.758,229.34264,67.49976
82.858,229.33654,67.58296
82.958,229.38829,67.66625
83.05801,229.37283,67.74966
83.15801,229.36566,67.83296
83.258,229.35592,67.91625
83.358,229.38641,67.99966
83.458,229.36853,68.08306
83.55801,229.29899,68.16626
83.65801,229.28761,68.24976
83.758,229.28629,68.33305
83.858,229.29072,68.41626
83.958,229.29892,68.49966
84.05801,229.37883,68.58306
84.15801,229.38173,68.66626
84.258,229.492,68.74966
84.358,229.50811,68.83316
84.45801,229.46758,68.91625
84.55801,229.48587,68.99956
84.65801,229.59827,69.08306
84.758,229.65424,69.16636
84.858,229.63692,69.24957
84.95801,229.75629,69.33316
85.05801,229.74826,69.41636
85.15801,229.76544,69.49986
85.258,229.69732,69.58296
85.358,229.70304,69.66636
85.45801,229.70494,69.74986
85.55801,229.66748,69.83306
85.65801,229.66959,69.91636
85.758,229.62552,69.99976
85.858,229.64364,70.08296
85.95801,229.62412,70.16646
86.05801,229.60847,70.24966
86.15801,229.54933,70.33286
86.258,229.55475,70.41636
86.358,229.56999,70.49965
86.45801,229.48237,70.58296
86.55801,229.42565,70.66636
86.65801,229.42327,70.74966
86.758,229.40157,70.83305
86.858,229.3762,70.91627
86.95801,229.3287,70.99966
87.05801,229.35817,71.08306
87.15801,229.32533,71.16626
87.258,229.29804,71.24976
87.358,229.25451,71.33306
87.45801,229.18623,71.41625
87.55801,229.23324,71.49986
87.65801,229.15805,71.58306
87.758,229.07039,71.66626
87.858,229.00738,71.74966
87.95801,229.01798,71.83305
88.05801,228.92827,71.91626
88.15801,228.88767,71.99966
88.258,228.81165,72.08296
88.358,228.79092,72.16636
88.45801,228.77485,72.24956
88.55801,228.76397,72.33306
88.65801,228.77159,72.41636
88.758,228.79971,72.49956
88.858,228.80543,72.58295
88.95801,228.89813,72.66656
89.05801,228.85839,72.74966
89.15801,228.91402,72.83296
89.258,228.92941,72.91626
89.358,228.94032,72.99976
89.45801,228.92177,73.08296
89.55801,228.9602,73.16626
89.65801,228.98825,73.24966
89.758,229.00281,73.33305
89.858,229.06959,73.41626
89.95801,229.05516,73.49966
90.05801,229.08518,73.58286
90.15801,229.09651,73.66625
90.258,229.2214,73.74986
90.358,229.19036,73.83306
90.45801,229.18059,73.91636
90.55801,229.20473,73.99966
90.65801,229.28957,74.08306
90.758,229.25084,74.16626
90.858,229.2205,74.24956
90.95801,229.25362,74.33306
91.05801,229.22715,74.41646
91.15801,229.22236,74.49966
91.258,229.21868,74.58295
91.358,229.19981,74.66626
91.45801,229.15537,74.74966
91.55801,229.1734,74.83295
91.65801,229.19735,74.91636
91.758,229.18724,74.99966
91.858,229.20448,75.08296
91.95801,229.22093,75.16646
92.05801,229.16084,75.24966
92.15801,229.17762,75.33296
92.258,229.11157,75.41637
92.358,229.07536,75.49965
92.45801,229.01898,75.58295
92.55801,229.00239,75.66636
92.65801,229.00673,75.74956
92.758,228.98741,75.83305
92.858,228.98387,75.91626
92.95801,228.99592,75.99976
93.05801,228.96925,76.08306
93.15801,229.00362,76.16645
93.258,229.03001,76.24966
93.358,229.00093,76.33306
93.45801,228.95765,76.41625
93.55801,229.0006,76.49976
93.65801,228.97566,76.58286
93.758,229.01688,76.66626
93.858,229.00501,76.74976
93.95801,229.01496,76.83296
94.05801,229.01371,76.91626
94.15801,229.07864,76.99966
94.258,229.09086,77.08305
94.358,229.06138,77.16626
94.45801,229.13812,77.24966
94.55801,229.17366,77.33306
94.65801,229.23335,77.41635
94.758,229.27256,77.49966
94.858,229.24984,77.58296
94.95801,229.28908,77.66656
95.05801,229.29657,77.74975
95.15801,229.30095,77.83306
95.258,229.34966,77.91636
95.358,229.3551,77.99956
95.45801,229.42906,78.08306
95.55801,229.42424,78.16626
95.65801,229.44549,78.24955
95.758,229.43359,78.33306
95.858,229.454,78.41626
95.95801,229.42431,78.49946
96.05801,229.40001,78.58296
96.15801,229.46773,78.66626
96.258,229.45715,78.74966
96.358,229.44445,78.83296
96.45801,229.41997,78.91625
96.55801,229.46319,78.99966
96.65801,229.45415,79.08286
96.758,229.44894,79.16636
96.858,229.43687,79.24986
96.95801,229.39317,79.33296
97.05801,229.34357,79.41646
97.15801,229.35575,79.49986
97.258,229.32326,79.58295
97.358,229.30384,79.66626
97.45801,229.32803,79.74966
97.55801,229.31281,79.83305
97.65801,229.30656,79.91626
97.758,229.28506,79.99976
97.858,229.23477,80.08306
97.95801,229.22786,80.16626
98.05801,229.1177,80.24976
98.15801,229.11306,80.33306
98.258,229.07041,80.41626
